,price,year,dong,area,region_code,region_nmae,per_price
0,"65,000",2014,옥인동,118.49,11110,서울특별시 종로구,548.5694995358258
1,"77,000",2014,사직동,94.51,11110,서울특별시 종로구,814.7286001481324
2,"105,000",2014,사직동,108.55,11110,서울특별시 종로구,967.2961768770152
3,"75,000",2014,사직동,97.61,11110,서울특별시 종로구,768.3638971416863
4,"82,500",2014,사직동,108.07,11110,서울특별시 종로구,763.3940964189877
5,"113,000",2014,사직동,146.92,11110,서울특별시 종로구,769.1260549959162
6,"99,500",2014,사직동,160.85,11110,서울특별시 종로구,618.5887472800746
7,"47,000",2014,당주동,91.46,11110,서울특별시 종로구,513.8858517384649
8,"111,000",2014,내수동,150.48,11110,서울특별시 종로구,737.6395534290272
9,"155,000",2014,내수동,174.55,11110,서울특별시 종로구,887.9977083930105
10,"31,000",2014,익선동,57.18,11110,서울특별시 종로구,542.1476040573627
11,"20,500",2014,익선동,36.08,11110,서울특별시 종로구,568.1818181818182
12,"41,500",2014,익선동,58.78,11110,서울특별시 종로구,706.0224566178972
13,"51,000",2014,인의동,84.7,11110,서울특별시 종로구,602.125147579693
14,"16,400",2014,연건동,16.98,11110,서울특별시 종로구,965.8421672555947
15,"69,000",2014,명륜1가,135.79,11110,서울특별시 종로구,508.13756535827383
16,"45,500",2014,명륜1가,84.9,11110,서울특별시 종로구,535.924617196702
17,"43,000",2014,명륜2가,84.9,11110,서울특별시 종로구,506.47820965842163
18,"48,200",2014,명륜2가,84.9,11110,서울특별시 종로구,567.7267373380447
19,"51,000",2014,명륜2가,84.8,11110,서울특별시 종로구,601.4150943396227
20,"53,000",2014,명륜2가,84.8,11110,서울특별시 종로구,625.0
21,"53,500",2014,명륜2가,84.9,11110,서울특별시 종로구,630.153121319199
22,"59,000",2014,명륜2가,84.9,11110,서울특별시 종로구,694.9352179034157
23,"55,000",2014,명륜2가,84.9,11110,서울특별시 종로구,647.8209658421672
24,"51,000",2014,명륜2가,84.9,11110,서울특별시 종로구,600.7067137809187
25,"22,000",2014,창신동,54.7,11110,서울특별시 종로구,402.19378427787933
26,"37,000",2014,창신동,106.62,11110,서울특별시 종로구,347.02682423560304
27,"48,000",2014,창신동,84.9,11110,서울특별시 종로구,565.3710247349823
28,"36,000",2014,창신동,59.95,11110,서울특별시 종로구,600.5004170141784
29,"41,500",2014,창신동,115.53,11110,서울특별시 종로구,359.21405695490347
30,"25,600",2014,창신동,54.7,11110,서울특별시 종로구,468.00731261425955
31,"33,000",2014,창신동,79.87,11110,서울특별시 종로구,413.17140353073745
32,"40,300",2014,창신동,106.62,11110,서울특별시 종로구,377.9778653160758
33,"24,000",2014,창신동,54.7,11110,서울특별시 종로구,438.75685557586837
34,"24,000",2014,창신동,54.7,11110,서울특별시 종로구,438.75685557586837
35,"35,500",2014,창신동,59.95,11110,서울특별시 종로구,592.1601334445371
36,"29,100",2014,창신동,79.87,11110,서울특별시 종로구,364.3420558407412
37,"24,000",2014,창신동,64.66,11110,서울특별시 종로구,371.1722858026601
38,"33,500",2014,창신동,79.87,11110,서울특별시 종로구,419.43157631150615
39,"38,500",2014,숭인동,59.9426,11110,서울특별시 종로구,642.2811156005912
40,"39,000",2014,숭인동,59.9426,11110,서울특별시 종로구,650.6224287902094
41,"11,500",2014,숭인동,12.78,11110,서울특별시 종로구,899.8435054773083
42,"58,000",2014,숭인동,114.7153,11110,서울특별시 종로구,505.59951462446594
43,"52,000",2014,숭인동,84.95,11110,서울특별시 종로구,612.1247792819305
44,"37,450",2014,숭인동,59.92,11110,서울특별시 종로구,625.0
45,"49,500",2014,숭인동,84.9478,11110,서울특별시 종로구,582.7107941582949
