,날짜,누적확진자,일일확진자
0,20200120,1,1
1,20200121,1,0
2,20200122,1,0
3,20200123,1,0
4,20200124,2,1
5,20200125,2,0
6,20200126,3,1
7,20200127,4,1
8,20200128,4,0
9,20200129,4,0
10,20200130,7,3
11,20200131,11,4
12,20200201,12,1
13,20200202,15,3
14,20200203,15,0
15,20200204,16,1
16,20200205,21,5
17,20200206,24,3
18,20200207,24,0
19,20200208,24,0
20,20200209,27,3
21,20200210,28,1
22,20200211,28,0
23,20200212,28,0
24,20200213,28,0
25,20200214,28,0
26,20200215,28,0
27,20200216,30,2
28,20200217,30,0
29,20200218,32,2
30,20200219,66,34
31,20200220,82,16
32,20200221,156,74
33,20200222,346,190
34,20200223,556,210
35,20200224,763,207
36,20200225,893,130
37,20200226,1146,253
38,20200227,1595,449
39,20200228,2022,427
40,20200229,2931,909
41,20200301,3526,595
42,20200302,4212,686
43,20200303,4812,600
44,20200304,5328,516
45,20200305,5766,438
46,20200306,6284,518
47,20200307,6767,483
48,20200308,7134,367
49,20200309,7382,248
50,20200310,7513,131
51,20200311,7755,242
52,20200312,7869,114
53,20200313,7979,110
54,20200314,8086,107
55,20200315,8162,76
56,20200316,8236,74
57,20200317,8320,84
58,20200318,8413,93
59,20200319,8565,152
60,20200320,8652,87
61,20200321,8799,147
62,20200322,8897,98
63,20200323,8961,64
64,20200324,9037,76
65,20200325,9137,100
66,20200326,9241,104
67,20200327,9332,91
68,20200328,9478,146
69,20200329,9583,105
70,20200330,9661,78
71,20200331,9786,125
72,20200401,9887,101
73,20200402,9976,89
74,20200403,10062,86
75,20200404,10156,94
76,20200405,10237,81
77,20200406,10284,47
78,20200407,10331,47
79,20200408,10384,53
80,20200409,10423,39
81,20200410,10450,27
82,20200411,10480,30
83,20200412,10512,32
84,20200413,10537,25
85,20200414,10564,27
86,20200415,10591,27
87,20200416,10613,22
88,20200417,10635,22
89,20200418,10653,18
90,20200419,10661,8
91,20200420,10674,13
92,20200421,10683,9
93,20200422,10694,11
94,20200423,10702,8
95,20200424,10708,6
96,20200425,10718,10
97,20200426,10728,10
98,20200427,10738,10
99,20200428,10752,14
100,20200429,10761,9
101,20200430,10765,4
102,20200501,10774,9
103,20200502,10780,6
104,20200503,10793,13
105,20200504,10801,8
106,20200505,10804,3
107,20200506,10806,2
108,20200507,10810,4
109,20200508,10822,12
110,20200509,10840,18
111,20200510,10874,34
112,20200511,10909,35
113,20200512,10936,27
114,20200513,10962,26
115,20200515,11018,56
116,20200516,11037,19
117,20200517,11050,13
118,20200518,11065,15
119,20200519,11078,13
120,20200520,11110,32
121,20200521,11122,12
122,20200522,11142,20
123,20200523,11165,23
124,20200524,11190,25
125,20200525,11206,16
126,20200526,11225,19
127,20200527,11265,40
128,20200528,11344,79
129,20200529,11402,58
130,20200530,11441,39
131,20200531,11468,27
132,20200601,11503,35
133,20200602,11541,38
134,20200603,11590,49
135,20200604,11629,39
136,20200605,11668,39
137,20200606,11719,51
138,20200607,11776,57
139,20200608,11813,37
140,20200609,11851,38
141,20200610,11901,50
142,20200611,11946,45
143,20200612,12002,56
144,20200613,12050,48
145,20200614,12084,34
146,20200615,12121,37
147,20200616,12155,34
148,20200617,12198,43
149,20200618,12257,59
150,20200619,12306,49
151,20200620,12373,67
152,20200621,12421,48
153,20200622,12438,17
154,20200623,12484,46
155,20200624,12535,51
156,20200625,12563,28
157,20200626,12602,39
158,20200627,12653,51
159,20200628,12715,62
160,20200629,12757,42
161,20200630,12799,42
162,20200701,12850,51
163,20200702,12904,54
164,20200703,12965,61
165,20200704,13028,63
166,20200705,13089,61
167,20200706,13137,48
168,20200707,13181,44
169,20200708,13243,62
170,20200709,13293,50
171,20200710,13338,45
172,20200711,13373,35
173,20200712,13417,44
174,20200713,13479,62
175,20200714,13512,33
176,20200715,13551,39
177,20200716,13612,61
178,20200717,13672,60
179,20200718,13711,39
180,20200719,13745,34
181,20200720,13771,26
182,20200721,13816,45
183,20200722,13879,63
184,20200723,13938,59
185,20200724,13979,41
186,20200725,14092,113
187,20200726,14150,58
188,20200727,14175,25
189,20200728,14203,28
190,20200729,14251,48
191,20200730,14269,18
192,20200731,14305,36
193,20200801,14336,31
194,20200802,14366,30
195,20200803,14389,23
196,20200804,14423,34
197,20200805,14456,33
198,20200806,14499,43
199,20200807,14519,20
200,20200808,14562,43
201,20200809,14598,36
202,20200810,14626,28
203,20200811,14660,34
204,20200812,14714,54
205,20200813,14770,56
206,20200814,14873,103
207,20200815,15039,166
208,20200816,15318,279
209,20200817,15515,197
210,20200818,15761,246
211,20200819,16058,297
212,20200820,16346,288
213,20200821,16670,324
214,20200822,17002,332
215,20200823,17398,396
216,20200824,17664,266
217,20200825,17944,280
218,20200826,18264,320
219,20200827,18705,441
220,20200828,19076,371
221,20200829,19399,323
222,20200830,19698,299
223,20200831,19946,248
224,20200901,20181,235
225,20200902,20448,267
226,20200903,20643,195
227,20200904,20841,198
228,20200905,21009,168
229,20200906,21176,167
230,20200907,21295,119
231,20200908,21431,136
232,20200909,21587,156
233,20200910,21742,155
234,20200911,21918,176
235,20200912,22054,136
236,20200913,22175,121
237,20200914,22284,109
238,20200915,22390,106
239,20200916,22503,113
240,20200917,22656,153
241,20200918,22782,126
242,20200919,22892,110
243,20200920,22974,82
244,20200921,23044,70
245,20200922,23105,61
246,20200923,23215,110
247,20200924,23340,125
