,price,year,dong,area,region_code,region_nmae,per_price
0,"83,500",2012,사직동,94.51,11110,서울특별시 종로구,883.5043910697281
1,"43,000",2012,내수동,76.66,11110,서울특별시 종로구,560.9183407252805
2,"105,000",2012,내수동,148.09,11110,서울특별시 종로구,709.02829360524
3,"60,500",2012,내수동,218.86,11110,서울특별시 종로구,276.43242255323037
4,"115,000",2012,내수동,124.17,11110,서울특별시 종로구,926.1496335668841
5,"31,900",2012,수송동,43.07,11110,서울특별시 종로구,740.6547480845136
6,"73,000",2012,수송동,83.35,11110,서울특별시 종로구,875.8248350329934
7,"21,800",2012,익선동,45.5,11110,서울특별시 종로구,479.1208791208791
8,"29,000",2012,익선동,58.78,11110,서울특별시 종로구,493.36509016672335
9,"31,000",2012,익선동,61.5,11110,서울특별시 종로구,504.0650406504065
10,"22,700",2012,익선동,45.5,11110,서울특별시 종로구,498.9010989010989
11,"13,000",2012,동숭동,49.56,11110,서울특별시 종로구,262.30831315577075
12,"46,500",2012,명륜2가,88.74,11110,서울특별시 종로구,524.002704530088
13,"55,000",2012,명륜2가,84.9,11110,서울특별시 종로구,647.8209658421672
14,"57,500",2012,명륜2가,84.9,11110,서울특별시 종로구,677.2673733804476
15,"51,250",2012,명륜2가,84.8,11110,서울특별시 종로구,604.3632075471698
16,"53,000",2012,명륜2가,84.8,11110,서울특별시 종로구,625.0
17,"24,000",2012,창신동,54.7,11110,서울특별시 종로구,438.75685557586837
18,"41,000",2012,창신동,106.62,11110,서울특별시 종로구,384.54323766647906
19,"26,500",2012,창신동,54.7,11110,서울특별시 종로구,484.46069469835464
20,"25,700",2012,창신동,54.7,11110,서울특별시 종로구,469.835466179159
21,"29,000",2012,창신동,79.87,11110,서울특별시 종로구,363.0900212845874
22,"26,000",2012,창신동,54.7,11110,서울특별시 종로구,475.31992687385736
23,"43,000",2012,창신동,106.62,11110,서울특별시 종로구,403.30144438191707
24,"15,300",2012,숭인동,61.71,11110,서울특별시 종로구,247.93388429752065
25,"29,500",2012,교북동,59.98,11110,서울특별시 종로구,491.83061020340114
26,"125,946",2012,평창동,190.743,11110,서울특별시 종로구,660.2915965461381
27,"126,569",2012,평창동,191.725,11110,서울특별시 종로구,660.1590820185161
28,"29,000",2012,평창동,59.97,11110,서울특별시 종로구,483.57512089378025
29,"136,276",2012,평창동,190.743,11110,서울특별시 종로구,714.448236632537
30,"134,106",2012,평창동,190.743,11110,서울특별시 종로구,703.0716723549489
31,"182,856",2012,평창동,239.484,11110,서울특별시 종로구,763.5416144711129
32,"144,402",2012,평창동,190.743,11110,서울특별시 종로구,757.0500621254778
33,"163,010",2012,평창동,219.775,11110,서울특별시 종로구,741.7131156864975
34,"141,222",2012,평창동,184.907,11110,서울특별시 종로구,763.7460993905044
35,"62,500",2012,평창동,187.9,11110,서울특별시 종로구,332.62373602980307
36,"27,500",2012,평창동,59.97,11110,서울특별시 종로구,458.5626146406537
37,"133,064",2012,평창동,184.907,11110,서울특별시 종로구,719.6266231132406
38,"136,710",2012,평창동,191.725,11110,서울특별시 종로구,713.0525492241492
39,"139,014",2012,평창동,190.743,11110,서울특별시 종로구,728.8026297164247
40,"47,200",2012,평창동,84.21,11110,서울특별시 종로구,560.5035031468947
41,"166,394",2012,평창동,219.775,11110,서울특별시 종로구,757.1106813786827
42,"24,000",2012,신영동,59.22,11110,서울특별시 종로구,405.26849037487335
43,"50,800",2012,무악동,59.993,11110,서울특별시 종로구,846.7654559698631
44,"67,000",2012,무악동,84.858,11110,서울특별시 종로구,789.5543142661858
45,"66,000",2012,무악동,84.858,11110,서울특별시 종로구,777.7699215159442
46,"61,000",2012,무악동,84.858,11110,서울특별시 종로구,718.8479577647363
47,"67,950",2012,무악동,114.9,11110,서울특별시 종로구,591.3838120104439
48,"129,942",2012,회현동2가,158.97,11140,서울특별시 중구,817.3995093413852
49,"103,000",2012,충무로4가,135.533,11140,서울특별시 중구,759.9625183534638
50,"30,000",2012,충무로4가,71.93,11140,서울특별시 중구,417.07215348255244
51,"22,900",2012,묵정동,52.46,11140,서울특별시 중구,436.5230651925276
