,price,year,dong,area,region_code,region_nmae,per_price
0,"23,500",2018,익선동,36.08,11110,서울특별시 종로구,651.3303769401331
1,"20,000",2018,연건동,16.98,11110,서울특별시 종로구,1177.8563015312131
2,"45,500",2018,혜화동,60.82,11110,서울특별시 종로구,748.109174613614
3,"26,800",2018,창신동,59.55,11110,서울특별시 종로구,450.0419815281276
4,"78,700",2018,숭인동,84.9478,11110,서울특별시 종로구,926.4513030355112
5,"65,000",2018,숭인동,59.9426,11110,서울특별시 종로구,1084.3707146503489
6,"24,300",2018,숭인동,57.45,11110,서울특별시 종로구,422.976501305483
7,"90,000",2018,평창동,187.9,11110,서울특별시 종로구,478.97817988291644
8,"135,500",2018,평창동,190.743,11110,서울특별시 종로구,710.3799353056206
9,"41,500",2018,평창동,110.61,11110,서울특별시 종로구,375.1921164451677
10,"133,000",2018,평창동,190.743,11110,서울특별시 종로구,697.2732944328233
11,"145,000",2018,회현동1가,176.26,11140,서울특별시 중구,822.6483603767163
12,"115,500",2018,회현동1가,113.46,11140,서울특별시 중구,1017.9799048122687
13,"164,000",2018,회현동1가,176.42,11140,서울특별시 중구,929.5998186146696
14,"129,000",2018,충무로4가,160.505,11140,서울특별시 중구,803.7132799601259
15,"23,300",2018,충무로5가,22.75,11140,서울특별시 중구,1024.1758241758241
16,"23,300",2018,충무로5가,22.75,11140,서울특별시 중구,1024.1758241758241
17,"22,200",2018,충무로5가,22.75,11140,서울특별시 중구,975.8241758241758
18,"16,700",2018,신당동,18.08,11140,서울특별시 중구,923.6725663716815
19,"139,000",2018,신당동,118.47,11140,서울특별시 중구,1173.2928167468558
20,"75,000",2018,황학동,111.224,11140,서울특별시 중구,674.3148960655973
21,"87,000",2018,황학동,114.9,11140,서울특별시 중구,757.1801566579634
22,"88,000",2018,황학동,114.9,11140,서울특별시 중구,765.8833768494343
23,"14,800",2018,황학동,16.37,11140,서울특별시 중구,904.0928527794746
24,"77,700",2018,황학동,84.97,11140,서울특별시 중구,914.4403907261386
25,"27,300",2018,황학동,26.94,11140,서울특별시 중구,1013.3630289532293
26,"45,000",2018,순화동,69.29,11140,서울특별시 중구,649.4443642661278
27,"88,000",2018,만리동2가,84.9774,11140,서울특별시 중구,1035.5694572909974
28,"62,000",2018,후암동,177.69,11170,서울특별시 용산구,348.9222803759356
29,"64,000",2018,후암동,83.13,11170,서울특별시 용산구,769.8785035486587
30,"92,000",2018,원효로1가,57.32,11170,서울특별시 용산구,1605.0244242847173
31,"117,000",2018,산천동,114.48,11170,서울특별시 용산구,1022.0125786163521
32,"39,000",2018,원효로3가,30.84,11170,서울특별시 용산구,1264.591439688716
33,"13,500",2018,원효로3가,15.42,11170,서울특별시 용산구,875.4863813229572
34,"85,000",2018,원효로4가,40.46,11170,서울특별시 용산구,2100.8403361344535
35,"68,000",2018,효창동,119.03,11170,서울특별시 용산구,571.2845501134168
36,"49,000",2018,용문동,84.39,11170,서울특별시 용산구,580.6375162933997
37,"20,500",2018,문배동,13.01,11170,서울특별시 용산구,1575.7109915449655
38,"19,600",2018,문배동,13.01,11170,서울특별시 용산구,1506.533435818601
39,"165,000",2018,신계동,124.96,11170,서울특별시 용산구,1320.4225352112676
40,"40,000",2018,한강로2가,34.02,11170,서울특별시 용산구,1175.7789535567313
41,"74,000",2018,이촌동,48.76,11170,서울특별시 용산구,1517.637407711239
42,"239,000",2018,이촌동,180.82,11170,서울특별시 용산구,1321.7564428713638
43,"68,000",2018,이촌동,43.02,11170,서울특별시 용산구,1580.6601580660156
44,"107,000",2018,이태원동,84.57,11170,서울특별시 용산구,1265.2240747309922
45,"98,000",2018,한남동,84.57,11170,서울특별시 용산구,1158.803358164834
46,"332,000",2018,한남동,177.764,11170,서울특별시 용산구,1867.6447424675412
47,"48,500",2018,한남동,60.43,11170,서울특별시 용산구,802.5814992553368
48,"720,000",2018,한남동,243.642,11170,서울특별시 용산구,2955.15551505898
49,"421,000",2018,한남동,233.062,11170,서울특별시 용산구,1806.386283478216
50,"263,000",2018,한남동,227.68,11170,서울특별시 용산구,1155.130007027407
51,"257,000",2018,서빙고동,166.98,11170,서울특별시 용산구,1539.1064798179423
52,"110,000",2018,상왕십리동,127.44,11200,서울특별시 성동구,863.1512868801004
53,"67,000",2018,하왕십리동,84.33,11200,서울특별시 성동구,794.4978062374007
54,"122,000",2018,하왕십리동,84.88,11200,서울특별시 성동구,1437.3232799245995
55,"13,800",2018,하왕십리동,12.84,11200,서울특별시 성동구,1074.766355140187
56,"120,000",2018,하왕십리동,84.99,11200,서울특별시 성동구,1411.930815390046
57,"99,000",2018,하왕십리동,59.94,11200,서울특별시 성동구,1651.6516516516517
58,"58,000",2018,마장동,59.94,11200,서울특별시 성동구,967.6343009676343
59,"45,000",2018,마장동,40.86,11200,서울특별시 성동구,1101.3215859030838
60,"70,500",2018,마장동,84.93,11200,서울특별시 성동구,830.0953726598375
61,"73,500",2018,마장동,84.71,11200,서울특별시 성동구,867.6661551174597
62,"65,000",2018,행당동,59.96,11200,서울특별시 성동구,1084.0560373582389
63,"89,000",2018,행당동,84.71,11200,서울특별시 성동구,1050.6433715027742
64,"78,000",2018,금호동1가,114.57,11200,서울특별시 성동구,680.8064938465567
65,"88,000",2018,금호동1가,114.57,11200,서울특별시 성동구,768.0893776730384
66,"64,400",2018,금호동1가,59.9,11200,서울특별시 성동구,1075.1252086811353
67,"90,000",2018,금호동2가,59.99,11200,서울특별시 성동구,1500.2500416736123
68,"93,000",2018,금호동3가,124.19,11200,서울특별시 성동구,748.8525646187294
69,"70,000",2018,금호동3가,59.97,11200,서울특별시 성동구,1167.2502918125729
70,"70,700",2018,금호동3가,59.99,11200,서울특별시 성동구,1178.5297549591598
71,"82,000",2018,금호동4가,84.71,11200,서울특별시 성동구,968.0084995868257
72,"110,000",2018,금호동4가,114.71,11200,서울특별시 성동구,958.9399354894953
73,"103,500",2018,금호동4가,59.862,11200,서울특별시 성동구,1728.9766462864588
74,"82,800",2018,옥수동,59.7,11200,서울특별시 성동구,1386.9346733668342
75,"91,500",2018,옥수동,59.7,11200,서울특별시 성동구,1532.6633165829146
76,"85,000",2018,옥수동,84.92,11200,서울특별시 성동구,1000.9420631182289
77,"124,500",2018,옥수동,59.88,11200,서울특별시 성동구,2079.1583166332666
78,"110,000",2018,옥수동,59.91,11200,서울특별시 성동구,1836.0874645301287
79,"138,000",2018,옥수동,148.23,11200,서울특별시 성동구,930.9856304391824
80,"100,000",2018,옥수동,114.32,11200,서울특별시 성동구,874.7375787263821
81,"180,000",2018,옥수동,149.39,11200,서울특별시 성동구,1204.8999263672267
82,"44,950",2018,옥수동,56.04,11200,서울특별시 성동구,802.1056388294076
83,"80,800",2018,성수동1가,49.23,11200,서울특별시 성동구,1641.2756449319522
84,"45,000",2018,성수동1가,81.35,11200,서울특별시 성동구,553.1653349723417
85,"430,000",2018,성수동1가,217.86,11200,서울특별시 성동구,1973.7446066281098
86,"470,000",2018,성수동1가,217.86,11200,서울특별시 성동구,2157.348756081887
87,"120,000",2018,성수동1가,68.66,11200,서울특별시 성동구,1747.742499271774
88,"120,000",2018,성수동2가,84.87,11200,서울특별시 성동구,1413.9271827500884
89,"54,800",2018,용답동,84.99,11200,서울특별시 성동구,644.781739028121
90,"33,000",2018,중곡동,84.79,11215,서울특별시 광진구,389.19683924991153
91,"39,700",2018,중곡동,83.01,11215,서울특별시 광진구,478.2556318515841
92,"65,000",2018,구의동,84.91,11215,서울특별시 광진구,765.5164291602874
93,"91,000",2018,구의동,84.91,11215,서울특별시 광진구,1071.7230008244023
94,"27,600",2018,구의동,36.91,11215,서울특별시 광진구,747.7648333784883
95,"92,000",2018,구의동,127.91,11215,서울특별시 광진구,719.2557266828239
96,"64,800",2018,구의동,59.97,11215,서울특별시 광진구,1080.5402701350677
97,"81,000",2018,구의동,84.99,11215,서울특별시 광진구,953.0533003882811
98,"27,750",2018,구의동,32.87,11215,서울특별시 광진구,844.234864618193
99,"76,000",2018,구의동,59.82,11215,서울특별시 광진구,1270.4781009695753
100,"36,500",2018,구의동,63.03,11215,서울특별시 광진구,579.0893225448199
101,"70,000",2018,광장동,69,11215,서울특별시 광진구,1014.4927536231884
102,"35,720",2018,광장동,59.4,11215,서울특별시 광진구,601.3468013468014
103,"83,500",2018,광장동,84.86,11215,서울특별시 광진구,983.973603582371
104,"80,000",2018,광장동,59.67,11215,서울특별시 광진구,1340.707223060164
105,"160,000",2018,광장동,162.41,11215,서울특별시 광진구,985.16101225294
106,"49,000",2018,자양동,50.25,11215,서울특별시 광진구,975.1243781094528
107,"41,000",2018,자양동,57.31,11215,서울특별시 광진구,715.4074332577211
108,"57,000",2018,자양동,61.26,11215,서울특별시 광진구,930.4603330068561
109,"83,271",2018,자양동,84.93,11215,서울특별시 광진구,980.4662663369833
110,"103,000",2018,자양동,84.96,11215,서울특별시 광진구,1212.3352165725048
111,"119,700",2018,자양동,96.98,11215,서울특별시 광진구,1234.2751082697464
112,"152,000",2018,자양동,169.53,11215,서울특별시 광진구,896.5964726007196
113,"110,500",2018,자양동,137.71,11215,서울특별시 광진구,802.4108634086123
114,"61,500",2018,자양동,59.96,11215,서울특별시 광진구,1025.683789192795
115,"150,000",2018,자양동,159.89,11215,서울특별시 광진구,938.1449746700857
116,"80,000",2018,자양동,84.97,11215,서울특별시 광진구,941.5087678004002
117,"66,300",2018,자양동,59.91,11215,서울특별시 광진구,1106.6599899849775
118,"118,000",2018,자양동,100.32,11215,서울특별시 광진구,1176.2360446570974
119,"8,500",2018,화양동,16.77,11215,서울특별시 광진구,506.8574836016697
120,"47,500",2018,군자동,59.96,11215,서울특별시 광진구,792.1947965310206
121,"80,000",2018,용두동,59.98,11230,서울특별시 동대문구,1333.7779259753252
122,"76,000",2018,용두동,59.98,11230,서울특별시 동대문구,1267.089029676559
