,법정동코드,법정동명,폐지여부
0,1100000000,서울특별시,존재
1,1111000000,서울특별시 종로구,존재
94,1114000000,서울특별시 중구,존재
179,1117000000,서울특별시 용산구,존재
229,1120000000,서울특별시 성동구,존재
332,1121500000,서울특별시 광진구,존재
342,1123000000,서울특별시 동대문구,존재
399,1126000000,서울특별시 중랑구,존재
422,1129000000,서울특별시 성북구,존재
503,1130500000,서울특별시 강북구,존재
508,1132000000,서울특별시 도봉구,존재
548,1135000000,서울특별시 노원구,존재
573,1138000000,서울특별시 은평구,존재
597,1141000000,서울특별시 서대문구,존재
673,1144000000,서울특별시 마포구,존재
716,1147000000,서울특별시 양천구,존재
737,1150000000,서울특별시 강서구,존재
765,1153000000,서울특별시 구로구,존재
806,1154500000,서울특별시 금천구,존재
810,1156000000,서울특별시 영등포구,존재
913,1159000000,서울특별시 동작구,존재
937,1162000000,서울특별시 관악구,존재
975,1165000000,서울특별시 서초구,존재
1003,1168000000,서울특별시 강남구,존재
1072,1171000000,서울특별시 송파구,존재
1087,1174000000,서울특별시 강동구,존재
2615,2600000000,부산광역시,존재
2616,2611000000,부산광역시 중구,존재
2658,2614000000,부산광역시 서구,존재
2683,2617000000,부산광역시 동구,존재
2688,2620000000,부산광역시 영도구,존재
2710,2623000000,부산광역시 부산진구,존재
2722,2626000000,부산광역시 동래구,존재
2734,2629000000,부산광역시 남구,존재
2746,2632000000,부산광역시 북구,존재
2760,2635000000,부산광역시 해운대구,존재
2769,2638000000,부산광역시 사하구,존재
2778,2641000000,부산광역시 금정구,존재
2792,2644000000,부산광역시 강서구,존재
2815,2647000000,부산광역시 연제구,존재
2818,2650000000,부산광역시 수영구,존재
2824,2653000000,부산광역시 사상구,존재
2833,2671000000,부산광역시 기장군,존재
2912,2700000000,대구광역시,존재
2913,2711000000,대구광역시 중구,존재
2971,2714000000,대구광역시 동구,존재
3017,2717000000,대구광역시 서구,존재
3027,2720000000,대구광역시 남구,존재
3031,2723000000,대구광역시 북구,존재
3063,2726000000,대구광역시 수성구,존재
3091,2729000000,대구광역시 달서구,존재
3117,2771000000,대구광역시 달성군,존재
3280,2800000000,인천광역시,존재
3281,2811000000,인천광역시 중구,존재
3334,2814000000,인천광역시 동구,존재
3355,2817700000,인천광역시 미추홀구,존재
3363,2818500000,인천광역시 연수구,존재
3370,2820000000,인천광역시 남동구,존재
3415,2823700000,인천광역시 부평구,존재
3429,2824500000,인천광역시 계양구,존재
3454,2826000000,인천광역시 서구,존재
3477,2871000000,인천광역시 강화군,존재
3587,2872000000,인천광역시 옹진군,존재
3624,2900000000,광주광역시,존재
3625,2911000000,광주광역시 동구,존재
3660,2914000000,광주광역시 서구,존재
3694,2915500000,광주광역시 남구,존재
3725,2917000000,광주광역시 북구,존재
3767,2920000000,광주광역시 광산구,존재
3870,3000000000,대전광역시,존재
3871,3011000000,대전광역시 동구,존재
3917,3014000000,대전광역시 중구,존재
3944,3017000000,대전광역시 서구,존재
3973,3020000000,대전광역시 유성구,존재
4027,3023000000,대전광역시 대덕구,존재
